InternationalName,Name
Rabeprazole,
Rabies immunoglobulin,
"Rabies, inactivated, whole virus",
Racecadotril,
Raltegravir,
Ramipril,
Ramipril and amlodipine,
Ramipril and diuretics,
Ramucirumab,
Ranibizumab,
Ranitidine,
Ranolazine,
Rasagiline,
"Rauwolfia alkaloids, whole root",
Rebamipide,
Regorafenib,
Repaglinide,
"Reserpine and diuretics, combinations with other drugs",
Retinol (vit A),
Rhodiola rosea**,
Ribavirin,
Riboflavin (vit B2),
Ribonucleinic acid*,
Rifabutin,
Rifampicin,
Rifampicin and isoniazid,
"Rifampicin, ethambutol, isoniazid*",
"Rifampicin, pyrazinamide and isoniazid",
"Rifampicin, pyrazinamide, ethambutol and isoniazid",
Rifamycin,
Rifaximin,
Rilmenidine,
Rilpivirine,
Riluzole,
Rimantadine,
Riociguat,
Risedronic acid,
Risperidone,
Ritonavir,
Rituximab,
Rivaroxaban,
Rivastigmine,
Rizatriptan,
Rocuronium bromide,
Rofecoxib,
Roflumilast,
Ropinirole,
Ropivacaine,
Rosa**,
Rosmarinus officinalis**,
Rosuvastatin,
Rosuvastatin and amlodipine,
Rosuvastatin and ezetimibe,
Rosuvastatin and valsartan,
"Rosuvastatin, perindopril and indapamide",
"Rota virus, live attenuated",
Rupatadine,
Rutoside,
"Rutoside, combinations",
Ruxolitinib,
Sabalis serrulatae fructus,
Saccharated iron oxide,
Saccharomyces boulardii,
Salbutamol,
Salicis cortex**,
Salicylic acid,
Salmeterol,
Salmeterol and fluticasone,
Salvia officinalis**,
Sambucus nigra**,
Sanguiritrin*,
Sapropterin,
Saxagliptin,
Saxagliptin and dapagliflozin,
Scutellaria baicalensis**,
Secnidazole,
Selegiline,
Senna glycosides,
"Senna glycosides, combinations",
Senna officinalis**,
Sequifenadine,
Serrapeptase*,
Sertaconazole,
Sertindole,
Sertraline,
Sevelamer,
Sevoflurane,
Sildenafil,
Silibinin*,
Silicium dioxide*,
Silicones,
Silodosin,
Silver,
Silver sulfadiazine,
Silybum marianum**,
Silymarin,
Simvastatin,
Sitagliptin,
Sodium acetate,
Sodium aminosalicylate,
Sodium ascorbate*,
Sodium bicarbonate,
Sodium chloride,
Sodium citrate,
Sodium fluoride,
Sodium folinate,
Sodium formiate*,
Sodium gluconate*,
Sodium iodide (131I),
"Sodium lauryl sulfoacetate, incl. combinations",
Sodium levofolinate,
Sodium oxybate,
Sodium phosphate,
Sodium picosulfate,
"Sodium picosulfate, combinations",
Sodium selenite,
Sodium sulfate,
Sodium tetraborate*,
Sodium tetradecyl sulfate,
Sofosbuvir,
Sofosbuvir and ledipasvir,
Sofosbuvir and velpatasvir,
Solidago virgaurea**,
Solifenacin,
Somatropin,
Sophora japonica**,
Sorafenib,
Sorbitol,
Sorbus aucuparia**,
Sotalol,
Spectinomycin,
Spiramycin,
Spironolactone,
Streptokinase,
"Streptokinase, combinations",
Streptomycin,
Strontium (89Sr) chloride,
Strontium ranelate,
Sucralfate,
Sugammadex,
Sulbactam,
Sulbutiamine,
Sulfacamphorate acid*,
Sulfacetamide,
Sulfadimethoxine,
Sulfadimidine,
Sulfamethoxazole,
Sulfamethoxazole and trimethoprim,
Sulfanilamide,
Sulfasalazine,
Sulfathiazole,
Sulfocamphocain*,
Sulfur,
Sulodexide,
Sulpiride,
Sumatriptan,
Sumphytum officinalis**,
Sunitinib,
Suxamethonium,
Tacrolimus,
Tadalafil,
Tafluprost,
Taliglucerase alfa,
Tamoxifen,
Tamsulosin,
Tamsulosin and dutasteride,
Tamsulosin and solifenacin,
Tanacetum vulgare**,
Taurine*,
Tebain*,
Technetium (99mTc) pertechnetate,
Tegafur,
"Tegafur, combinations",
Teicoplanin,
Telmisartan,
Telmisartan and amlodipine,
Telmisartan and diuretics,
Temozolomide,
Tenecteplase,
Tenofovir disoproxil,
Tenofovir disoproxil and emtricitabine,
Tenoxicam,
Terazosin,
Terbinafine,
Teriflunomide,
Terizidone,
Terlipressin,
Terpinhydrat*,
Testosterone,
Tetanus toxoid,
"Tetanus toxoid, combinations with diphtheria toxoid",
Tetracycline,
Tetryzoline,
Thalidomide,
Theobrominum,
Theophylline,
Theophylline and adrenergics,
"Theophylline, combinations excl. psycholeptics",
"Theophylline, combinations with psycholeptics",
Thiamazole,
Thiamine (vit B1),
Thiamphenicol,
Thiocolchicoside,
Thioctic acid,
Thiopental,
Thioridazine,
Thiosulfate,
Threonine*,
Thymus serpyllum**,
Thyrotropin alfa,
Tianeptine,
Tiapride,
Tiazotic acid,
Tibolone,
Ticagrelor,
Ticlopidine,
Tigecycline,
Tilia**,
Tilorone,
Timolol,
"Timolol, combinations",
Tinidazole,
Tioguanine,
Tiotropium bromide,
Tizanidine,
Tobramycin,
Tocilizumab,
Tocopherol (vit E),
Tofacitinib,
Tolperisone,
Tolterodine,
Topiramate,
Topotecan,
Torasemide,
Toremifene,
Tormentilla erecta**,
Tramadol,
Tramazoline,
Trametinib,
Trandolapril and verapamil,
Tranexamic acid,
Trastuzumab,
Trastuzumab emtansine,
Travoprost,
Trazodone,
Treosulfan,
Triamcinolone,
Triamcinolone and antibiotics,
Triamcinolone and antiseptics,
Tribulus terrestris**,
Trifluoperazine,
"Trifluridine, combinations",
Triflusal,
Trihexyphenidyl,
Trimebutine,
Trimeperidine*,
Trimetazidine,
Trimethoprim,
Triprolidine,
Triptorelin,
Tropicamide,
"Tropicamide, combinations",
Tropisetron,
Trospium,
Troxerutin,
"Troxerutin, combinations",
Trypsin,
"Trypsin, combinations",
Tryptophan,
Tuberculin,
"Tuberculosis, live attenuated",
Tussilago farfara**,
"Typhoid, purified polysaccharide antigen",
Tyrothricin,
Udenafil,
Ulinastatin*,
Ulipristal,
Umeclidinium bromide,
Umifenovir,
Undecylenic acid,
Unithiol*,
Urapidil,
Urofollitropin,
Urokinase,
Ursodeoxycholic acid,
Urtica dioica**,
Ustekinumab,
Vaccinium myrtillus**,
Vaginal ring with progestogen and estrogen,
Valaciclovir,
Valerianae radix,
Valganciclovir,
Validol*,
Valine*,
Valproic acid,
Valsartan,
Valsartan and amlodipine,
Valsartan and diuretics,
Valsartan and sacubitril,
"Valsartan, amlodipine and hydrochlorothiazide",
Vancomycin,
Vardenafil,
Varenicline,
"Varicella, live attenuated",
Vaseline*,
Vasopressin,
Vedolizumab,
Velaglucerase alfa,
Vemurafenib,
Venetoclax,
Venlafaxine,
Verapamil,
Veratrum album**,
Vilanterol and fluticasone furoate,
Vilanterol and umeclidinium bromide,
Vildagliptin,
Vinblastine,
Vincamine,
Vincristine,
Vinilin*,
Vinorelbine,
Vinpocetine,
Viride nitens*,
Vitamin B1 in combination with vitamin B6 and/or vitamin B12,
Voglibose,
Von Willebrand factor and coagulation factor VIII in combination,
Voriconazole,
Vortioxetine,
Warfarin,
Xantinol nicotinate,
Xenon,
Xipamide,
Xylometazoline,
"Xylometazoline, combinations",
"Yellow fever, live attenuated",
Yohimbine,
Zaleplon,
Zanamivir,
Zea mays**,
Zidovudine,
Zidovudine and lamivudine,
"Zidovudine, lamivudine and nevirapine",
Zinc compounds,
Zinc oxide*,
Zinc sulfate,
Zingiberis rhizoma**,
Ziprasidone,
Zofenopril,
Zofenopril and diuretics,
Zoledronic acid,
Zolmitriptan,
Zonisamide,
Zopiclone,
Zuclopenthixol,
risankizumab,
